mappingType,width,height,numberOfChannels,resize,epochs,learningRate,TN,FP,FN,TP,precision_goodware,recall_goodware,f1_goodware,precision_malware,recall_malware,f1_malware,overall_accuracy
LINEAR,224,224,3,NO_RESIZE,4,0.001,16652,710,739,22209,0.9575,0.9591,0.9583,0.969,0.9678,0.9684,0.9641
ZIGZAG,224,224,3,NO_RESIZE,4,0.001,16783,579,958,21990,0.946,0.9667,0.9562,0.9743,0.9583,0.9662,0.9619
SERPENTINE,224,224,3,NO_RESIZE,4,0.001,16767,595,821,22127,0.9533,0.9657,0.9595,0.9738,0.9642,0.969,0.9649
LINEAR,224,224,1,NO_RESIZE,4,0.001,16777,585,638,22310,0.9634,0.9663,0.9648,0.9744,0.9722,0.9733,0.9697
ZIGZAG,224,224,1,NO_RESIZE,4,0.001,16857,505,729,22219,0.9585,0.9709,0.9647,0.9778,0.9682,0.973,0.9694
SERPENTINE,224,224,1,NO_RESIZE,4,0.001,16973,389,869,22079,0.9513,0.9776,0.9643,0.9827,0.9621,0.9723,0.9688
LINEAR,792,VARIABLE,1,224x224,4,0.001,16888,474,565,22383,0.9676,0.9727,0.9702,0.9793,0.9754,0.9773,0.9742
ZIGZAG,792,VARIABLE,1,224x224,4,0.001,16979,383,699,22249,0.9605,0.9779,0.9691,0.9831,0.9695,0.9763,0.9732
SERPENTINE,792,VARIABLE,1,224x224,4,0.001,16863,499,512,22436,0.9705,0.9713,0.9709,0.9782,0.9777,0.978,0.9749
LINEAR,457,VARIABLE,3,224x224,4,0.001,16951,411,584,22364,0.9667,0.9763,0.9715,0.982,0.9746,0.9782,0.9753
ZIGZAG,457,VARIABLE,3,224x224,4,0.001,17040,322,688,22260,0.9612,0.9815,0.9712,0.9857,0.97,0.9778,0.9749
SERPENTINE,457,VARIABLE,3,224x224,4,0.001,16826,536,427,22521,0.9753,0.9691,0.9722,0.9768,0.9814,0.9791,0.9761
